{'yaw': 169.4285, 'pitch': -10.2969, 'roll': 12.564, 'Ax': 827, 'Ay': 1070, 'Az': -7179, 'timestamps': 1542885179.668747}
{'yaw': 169.3842, 'pitch': -9.907032, 'roll': 12.74527, 'Ax': 1035, 'Ay': 971, 'Az': -6954, 'timestamps': 1542885179.6758568}
{'yaw': 169.322, 'pitch': -9.354021, 'roll': 12.87536, 'Ax': 1334, 'Ay': 746, 'Az': -6625, 'timestamps': 1542885179.6916885}
{'yaw': 169.2317, 'pitch': -8.626325, 'roll': 12.93347, 'Ax': 1530, 'Ay': 469, 'Az': -6251, 'timestamps': 1542885179.6994638}
{'yaw': 169.1247, 'pitch': -7.749886, 'roll': 12.88648, 'Ax': 1599, 'Ay': 249, 'Az': -5894, 'timestamps': 1542885179.7088847}
{'yaw': 169.0135, 'pitch': -6.75001, 'roll': 12.76729, 'Ax': 1487, 'Ay': 230, 'Az': -5652, 'timestamps': 1542885179.7159982}
{'yaw': 168.9488, 'pitch': -5.691495, 'roll': 12.60537, 'Ax': 1150, 'Ay': 395, 'Az': -5480, 'timestamps': 1542885179.7289398}
{'yaw': 168.9267, 'pitch': -4.626168, 'roll': 12.48791, 'Ax': 689, 'Ay': 687, 'Az': -5381, 'timestamps': 1542885179.7409236}
{'yaw': 168.9485, 'pitch': -3.586839, 'roll': 12.43267, 'Ax': 184, 'Ay': 880, 'Az': -5170, 'timestamps': 1542885179.7463844}
{'yaw': 168.9194, 'pitch': -2.546252, 'roll': 12.41298, 'Ax': -221, 'Ay': 798, 'Az': -4797, 'timestamps': 1542885179.7564068}
{'yaw': 168.7931, 'pitch': -1.451358, 'roll': 12.29488, 'Ax': -437, 'Ay': 374, 'Az': -4185, 'timestamps': 1542885179.7656136}
{'yaw': 168.5576, 'pitch': -0.243377, 'roll': 12.02758, 'Ax': -452, 'Ay': -46, 'Az': -3604, 'timestamps': 1542885179.7769258}
{'yaw': 168.3132, 'pitch': 1.088155, 'roll': 11.60836, 'Ax': -404, 'Ay': -356, 'Az': -3092, 'timestamps': 1542885179.7871447}
{'yaw': 168.1848, 'pitch': 2.444319, 'roll': 11.06311, 'Ax': -625, 'Ay': -512, 'Az': -2690, 'timestamps': 1542885179.7967803}
{'yaw': 168.1868, 'pitch': 3.728354, 'roll': 10.4546, 'Ax': -1074, 'Ay': -497, 'Az': -2330, 'timestamps': 1542885179.8071637}
{'yaw': 168.2813, 'pitch': 4.990164, 'roll': 9.814444, 'Ax': -1414, 'Ay': -401, 'Az': -1977, 'timestamps': 1542885179.8187246}
{'yaw': 168.4991, 'pitch': 6.228944, 'roll': 9.139725, 'Ax': -1693, 'Ay': -333, 'Az': -1674, 'timestamps': 1542885179.8280282}
{'yaw': 168.8019, 'pitch': 7.413466, 'roll': 8.489797, 'Ax': -2153, 'Ay': 1, 'Az': -1510, 'timestamps': 1542885179.8432183}
{'yaw': 169.0981, 'pitch': 8.452151, 'roll': 8.028469, 'Ax': -2864, 'Ay': 459, 'Az': -1257, 'timestamps': 1542885179.8494487}
{'yaw': 169.4329, 'pitch': 9.226956, 'roll': 7.830148, 'Ax': -3415, 'Ay': 415, 'Az': -677, 'timestamps': 1542885179.856139}
{'yaw': 169.8571, 'pitch': 9.835863, 'roll': 7.726094, 'Ax': -3298, 'Ay': -246, 'Az': 123, 'timestamps': 1542885179.8655803}
{'yaw': 170.4136, 'pitch': 10.38397, 'roll': 7.664395, 'Ax': -2720, 'Ay': -840, 'Az': 839, 'timestamps': 1542885179.8753772}
{'yaw': 171.0402, 'pitch': 11.03608, 'roll': 7.675054, 'Ax': -1728, 'Ay': -904, 'Az': 1142, 'timestamps': 1542885179.8869193}
{'yaw': 171.8512, 'pitch': 11.87409, 'roll': 7.901074, 'Ax': -567, 'Ay': -655, 'Az': 1216, 'timestamps': 1542885179.897593}
{'yaw': 172.8378, 'pitch': 13.02866, 'roll': 8.258016, 'Ax': 581, 'Ay': -556, 'Az': 1244, 'timestamps': 1542885179.9064941}
{'yaw': 173.749, 'pitch': 14.53157, 'roll': 8.583006, 'Ax': 932, 'Ay': -648, 'Az': 1565, 'timestamps': 1542885179.9188209}
{'yaw': 174.4466, 'pitch': 16.26084, 'roll': 8.770755, 'Ax': 519, 'Ay': -762, 'Az': 2275, 'timestamps': 1542885179.9258492}
{'yaw': 175.032, 'pitch': 18.04246, 'roll': 8.83762, 'Ax': 178, 'Ay': -737, 'Az': 3371, 'timestamps': 1542885179.950793}
{'yaw': 175.4627, 'pitch': 19.93174, 'roll': 8.852407, 'Ax': 62, 'Ay': -186, 'Az': 4369, 'timestamps': 1542885179.960169}
{'yaw': 175.7023, 'pitch': 21.81348, 'roll': 8.988829, 'Ax': -91, 'Ay': 641, 'Az': 5479, 'timestamps': 1542885179.9982898}
{'yaw': 175.8049, 'pitch': 23.62888, 'roll': 9.321652, 'Ax': -108, 'Ay': 1199, 'Az': 6609, 'timestamps': 1542885180.0100698}
{'yaw': 175.8166, 'pitch': 25.22469, 'roll': 9.838217, 'Ax': -332, 'Ay': 1429, 'Az': 7658, 'timestamps': 1542885180.0101693}
{'yaw': 175.7704, 'pitch': 26.5162, 'roll': 10.5056, 'Ax': -237, 'Ay': 1659, 'Az': 8377, 'timestamps': 1542885180.0102358}
{'yaw': 175.6865, 'pitch': 27.55689, 'roll': 11.27143, 'Ax': 70, 'Ay': 1656, 'Az': 8865, 'timestamps': 1542885180.0307126}
{'yaw': 175.5882, 'pitch': 28.37892, 'roll': 11.99993, 'Ax': 381, 'Ay': 1339, 'Az': 9274, 'timestamps': 1542885180.034268}
{'yaw': 175.4307, 'pitch': 28.99204, 'roll': 12.6195, 'Ax': 601, 'Ay': 1121, 'Az': 9601, 'timestamps': 1542885180.034365}
{'yaw': 175.2543, 'pitch': 29.36808, 'roll': 13.19689, 'Ax': 747, 'Ay': 933, 'Az': 9870, 'timestamps': 1542885180.0344296}
