{'yaw': -4.129652, 'pitch': 2.301527, 'roll': 14.29079, 'Ax': 1711, 'Ay': -1118, 'Az': -3091, 'timestamps': 1542884653.8269935}
{'yaw': -4.086957, 'pitch': 2.536379, 'roll': 14.56093, 'Ax': 1387, 'Ay': -712, 'Az': -3629, 'timestamps': 1542884653.841281}
{'yaw': -4.078651, 'pitch': 2.6742, 'roll': 14.64283, 'Ax': 950, 'Ay': -394, 'Az': -4021, 'timestamps': 1542884653.8492107}
{'yaw': -4.117776, 'pitch': 2.718676, 'roll': 14.59126, 'Ax': 536, 'Ay': -187, 'Az': -4232, 'timestamps': 1542884653.8594856}
{'yaw': -4.210865, 'pitch': 2.604401, 'roll': 14.47899, 'Ax': 330, 'Ay': -71, 'Az': -4302, 'timestamps': 1542884653.867303}
{'yaw': -4.382741, 'pitch': 2.139749, 'roll': 14.42493, 'Ax': 239, 'Ay': -136, 'Az': -4133, 'timestamps': 1542884653.8774416}
{'yaw': -4.563487, 'pitch': 1.4211, 'roll': 14.50169, 'Ax': 338, 'Ay': -269, 'Az': -3882, 'timestamps': 1542884653.8874185}
{'yaw': -4.692789, 'pitch': 0.678697, 'roll': 14.64862, 'Ax': 442, 'Ay': -106, 'Az': -4027, 'timestamps': 1542884653.8967507}
{'yaw': -4.762262, 'pitch': 0.112586, 'roll': 14.77139, 'Ax': 432, 'Ay': 166, 'Az': -4364, 'timestamps': 1542884653.9121654}
{'yaw': -4.794498, 'pitch': -0.324526, 'roll': 14.82701, 'Ax': 417, 'Ay': 412, 'Az': -4681, 'timestamps': 1542884653.9203475}
{'yaw': -4.78197, 'pitch': -0.641183, 'roll': 14.80663, 'Ax': 340, 'Ay': 638, 'Az': -4948, 'timestamps': 1542884653.9281485}
{'yaw': -4.71048, 'pitch': -0.745912, 'roll': 14.66247, 'Ax': 239, 'Ay': 885, 'Az': -5251, 'timestamps': 1542884653.9391544}
{'yaw': -4.613137, 'pitch': -0.695519, 'roll': 14.3903, 'Ax': 85, 'Ay': 1079, 'Az': -5467, 'timestamps': 1542884653.9492025}
{'yaw': -4.507501, 'pitch': -0.561983, 'roll': 13.99481, 'Ax': -17, 'Ay': 1200, 'Az': -5610, 'timestamps': 1542884653.9597597}
{'yaw': -4.408395, 'pitch': -0.436336, 'roll': 13.53058, 'Ax': -19, 'Ay': 1170, 'Az': -5551, 'timestamps': 1542884653.9682336}
{'yaw': -4.318859, 'pitch': -0.445461, 'roll': 13.0644, 'Ax': 7, 'Ay': 1025, 'Az': -5350, 'timestamps': 1542884653.977422}
{'yaw': -4.237769, 'pitch': -0.568986, 'roll': 12.61833, 'Ax': -23, 'Ay': 943, 'Az': -5259, 'timestamps': 1542884653.9891055}
{'yaw': -4.173397, 'pitch': -0.80075, 'roll': 12.16263, 'Ax': -121, 'Ay': 882, 'Az': -5230, 'timestamps': 1542884653.9979656}
{'yaw': -4.113783, 'pitch': -1.212256, 'roll': 11.67931, 'Ax': -208, 'Ay': 756, 'Az': -5206, 'timestamps': 1542884654.0085084}
{'yaw': -4.042148, 'pitch': -1.723524, 'roll': 11.15811, 'Ax': -278, 'Ay': 711, 'Az': -5248, 'timestamps': 1542884654.0171936}
{'yaw': -3.952781, 'pitch': -2.221043, 'roll': 10.52416, 'Ax': -395, 'Ay': 779, 'Az': -5414, 'timestamps': 1542884654.0286818}
{'yaw': -3.818395, 'pitch': -2.519489, 'roll': 9.766695, 'Ax': -512, 'Ay': 830, 'Az': -5526, 'timestamps': 1542884654.0372167}
{'yaw': -3.614889, 'pitch': -2.625197, 'roll': 8.893793, 'Ax': -542, 'Ay': 796, 'Az': -5479, 'timestamps': 1542884654.0519605}
{'yaw': -3.352245, 'pitch': -2.520034, 'roll': 7.906226, 'Ax': -512, 'Ay': 758, 'Az': -5453, 'timestamps': 1542884654.0639558}
{'yaw': -3.071265, 'pitch': -2.239851, 'roll': 6.801854, 'Ax': -579, 'Ay': 696, 'Az': -5459, 'timestamps': 1542884654.069341}
